
121242.77574126239,1756.6437640440981,1035,3049061.036200701,2478
121848.77574126239,1628.6437640440981,946,3048672.036200701,2238
120701.77574126239,1828.6437640440981,1117,3049448.036200701,2569
120917.77574126239,1813.6437640440981,1106,3049258.036200701,2615
121155.77574126239,1821.6437640440981,1191,3048927.036200701,2574
121231.77574126239,1722.6437640440981,1124,3049017.036200701,2405
120775.77574126239,1860.6437640440981,1162,3049297.036200701,2558
121007.77574126239,1739.6437640440981,1050,3049298.036200701,2517
121110.77574126239,1721.6437640440981,1039,3049224.036200701,2479
120568.77574126239,1996.6437640440981,1186,3049344.036200701,2669
