S,E,I,R,H
95378.28,2411.99,1789.2,3268674.7796635376,4621.99
95003.32,1475.36,1162.17,3272351.456330199,3760.53
95521.98,923.51,727.27,3274447.8205726463,2375
96953.31,573.88,448.05,3275244.6969933365,1472.02
97900.49,573.34,358.24,3275854.201436847,964.66
98651.3,647.56,400.97,3276452.0871054954,946.11
99262.51,709.47,439.2,3277052.786856544,1034.22
99835.92,682.72,466.07,3277791.3066075887,1107.67
100681.34,641.16,397.01,3278246.8014442003,1047.98
101145.79,729.01,445.25,3278811.681623829,1038.12
101642.55,830.19,510.32,3279222.8898110045,1182.55
102167.61,833.77,566.57,3279664.445527721,1326.05
103222.11,526.46,402.4,3280044.388080148,1250.86
103953.89,619.46,375.15,3280141.635011614,888.7
101882.82,833.76,507.43,3282722.1631061737,1201.64
101896.2,980.98,596.93,3283241.079168809,1392.28
101448.49,1201.66,730.63,3284087.326696803,1698.26
99997.1,1565.75,960.14,3285593.930367682,2262.39
98611.63,1794.78,1110.62,3287248.7040385716,2617.11
97013.66,1626.62,1204.52,3289459.71002478,3107.6
96539.83,1364.44,895.92,3291038.4897807627,2711.1
95676.16,1538.05,958.17,3292114.759549654,2325.04
94597.94,1672.47,1052.49,3293389.3238676176,2544.01
92698.22,1895.7,1197.48,3295282.590356809,2929.75
90838.67,2021.53,1287.26,3297248.087714627,3182.93
88908.05,2133.62,1374.49,3299258.0838596886,3427.2
87650.02,1751.56,1318.94,3301177.3127325354,3489.63
88121.25,994.58,810.03,3302171.2214695583,2706.4
89287.42,580.33,469.12,3301891.390335205,1593.18
90784.76,341.58,277.01,3300948.334600156,924.15
92300.48,294.8,191.41,3299609.321935551,563.39
93816.03,306.63,193.07,3298124.6092709433,473.52
95453.58,313.94,194.28,3296448.4689458925,480.88
97232.32,275.2,184.38,3294681.403227955,440.44
99024.07,219.68,138.51,3292897.9527790463,381.32
100554.49,232.46,143.03,3291237.5324847065,333.39
102107.48,252.74,154.82,3289499.9848482166,365.91
103915.41,255.04,167.03,3287494.668454373,387.78
105778.12,164.09,127.17,3285554.47232141,389.37
107533.61,221.9,133.59,3283487.1711363373,317.38
109293.55,271.63,162.81,3281387.666355674,369.43
111095.09,306.85,182.16,3279224.3930173353,408.5
112736.82,391.01,228.71,3277142.354559143,502.05
114242.94,498.14,290.57,3275105.5345354676,638.5
115602.62,637.62,370.1,3273165.1345108533,800.31
117010.86,635.72,434.16,3271289.9232047494,991.13
118789.16,531.85,330.83,3269307.6019643946,934.41
120292.12,696.38,398.82,3267129.9265423953,854.2
121149.21,977.71,551.42,3265383.2095540506,1178.69
121752.68,1297.06,734.04,3263801.472061327,1566.02
120742.39,1864.05,1060.65,3263423.024793499,2235.07
118905.32,2615.2,1499.1,3263563.3772790288,3169.83
116317.45,2954.27,1975.59,3264806.1452003974,4385.78
115901.14,2070.79,1516.3,3266030.569709539,4468.84
116281.21,1506.21,1099.76,3266072.708287331,3312.33
117221.29,1114.84,815.04,3265249.806866578,2429.14
118184.29,1180.51,693.81,3263759.12157221,1817.44
118332.12,1607.88,919.06,3262375.4262778433,1982.01
117670.34,2132.81,1226.34,3261605.8125686985,2619.94
116542.46,2714.66,1564.48,3261211.15886784,3383.51
115592.76,2617.01,1543.06,3261668.0887904544,3903.6
112612.56,3462.14,2021.38,3262708.0321549205,4418.53
108292.64,4347.29,2580.18,3264962.787755783,5718.5
103111.39,5159.91,3112.7,3268172.8636525082,7049.63
101318.14,3154.58,2425.73,3272030.8371614935,7352.87
98164.34,3646.73,2259.29,3274227.812256947,5638.86
92437.38,4116.68,2592.27,3278520.146142728,6320.08
88451.84,4344.26,2800.66,3281434.111894516,6905.72
84073.07,4317.42,2831.4,3285173.3776463065,7190.56
79187.84,4171.06,2795.36,3289600.830399362,7360.37
75849.24,3695.79,2515.41,3293054.2594626336,6774.52
73841.84,2733.89,2125.33,3295769.2766250377,5992.19
74484.79,1562.8,1197.83,3296579.4416551804,4232.58
74521.8,1467.86,1010,3296176.459420288,2811.06
75123.92,1273.25,871.71,3295256.383070999,2394.65
75810.89,1141.57,783.57,3294135.9176337076,2130.59
76678.13,1043.58,712.38,3292781.322563544,1933.81
