S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
8641197,0,0,0,1,0,0,5,3,7,19,23,25,0,3,3,7,4,14,1,1,5,1,1,1,2,1,2,135863,1222811,4,2,3,0,0
8569797,3,1,2,0,0,0,5,8,13,26,20,28,4,7,10,14,13,7,3,0,1,3,3,2,0,1,0,143098,1286931,7,2,3,0,2
8605575,0,0,0,0,0,0,9,11,3,26,26,26,10,5,7,17,13,13,0,4,1,2,0,1,0,0,0,139920,1254331,8,2,2,0,1
8662048,2,0,0,0,0,1,12,6,7,19,30,29,5,9,13,18,15,17,2,1,2,1,0,0,0,0,0,133339,1204424,11,8,2,1,1
8590669,1,0,1,0,0,0,9,11,8,25,31,19,5,4,6,9,10,11,1,4,3,3,1,0,0,0,0,141661,1267508,2,4,4,1,0
8589529,0,0,1,0,0,0,9,11,9,22,28,24,5,2,3,12,8,11,4,5,2,3,2,0,0,1,1,141169,1269139,7,7,8,1,1
8572432,0,0,1,0,1,0,8,3,6,32,37,34,6,4,4,17,13,13,3,1,4,1,1,1,1,0,2,143075,1284300,10,5,4,1,0
8608592,0,0,0,0,0,0,6,5,11,20,26,16,10,9,9,11,6,8,1,1,2,2,2,1,2,1,0,139125,1252134,4,5,2,0,1
8556795,1,1,0,1,0,0,4,7,6,24,23,29,9,9,4,17,10,8,1,5,3,1,2,0,0,0,0,144055,1298985,11,1,4,0,2
8583160,3,0,0,0,2,0,12,3,11,26,26,25,3,8,7,14,16,12,1,1,4,3,5,1,1,2,1,141343,1275310,7,4,1,0,0
8595225,0,0,1,0,0,0,9,8,7,28,33,28,10,4,4,11,18,12,5,3,4,0,0,1,0,1,4,140612,1263972,2,2,9,0,0
8610152,0,2,0,0,0,0,7,7,7,21,16,24,5,6,3,12,8,14,4,4,3,2,2,1,1,1,0,138657,1251041,11,4,8,0,1
8575008,0,2,0,0,0,0,6,15,13,27,19,20,3,5,6,13,17,9,3,3,4,1,1,2,2,1,0,142661,1282159,12,6,4,0,2
8563605,0,0,0,0,0,0,12,8,3,20,31,24,9,4,6,17,12,6,3,1,0,1,1,0,1,1,1,144180,1292054,9,7,2,0,3
8519260,0,0,1,0,1,0,4,11,4,32,26,23,5,10,5,16,11,5,0,2,2,1,2,0,0,1,0,147928,1332650,8,2,1,1,0
8634152,0,3,1,1,1,0,9,12,15,31,20,30,6,3,6,16,15,13,2,3,2,1,3,3,0,1,3,136627,1229021,9,3,5,0,1
8615766,0,1,0,1,0,0,9,9,6,37,21,22,4,2,6,6,16,12,2,2,0,1,1,3,1,2,0,139149,1244921,4,7,4,2,0
8563864,1,1,0,0,0,0,8,3,9,27,13,20,5,4,3,15,15,10,1,3,2,3,1,0,1,0,1,143853,1292137,7,2,3,0,1
8594693,0,2,1,0,0,1,11,8,11,28,30,25,4,6,7,18,14,10,2,5,0,3,1,1,2,0,0,140692,1264425,14,5,5,0,0
8585834,0,0,1,1,0,0,5,10,5,30,18,20,5,8,3,18,13,13,2,2,3,4,1,1,0,0,0,141541,1272462,9,4,5,0,2
8537682,0,0,1,0,1,1,10,14,10,23,25,29,6,10,10,15,16,12,3,4,1,1,2,1,1,2,1,145618,1316501,12,9,7,0,1
8625001,0,0,1,0,2,0,5,7,16,28,31,34,13,8,13,21,13,12,1,0,2,1,1,1,3,0,0,137032,1237754,12,4,2,1,0
8660349,0,1,1,1,0,0,7,4,9,20,32,28,6,4,6,11,15,12,4,3,1,0,0,1,0,1,0,133836,1205648,7,2,5,0,0
8572360,1,1,0,0,0,0,12,7,12,30,28,36,7,5,4,14,12,14,3,3,0,2,3,0,1,0,1,142423,1285021,6,6,4,0,0
8615760,0,1,0,0,0,0,8,11,6,31,17,35,8,6,4,13,11,5,1,5,3,0,1,1,0,3,1,137971,1246098,7,5,5,0,0
8586154,1,1,0,0,1,0,8,8,13,25,17,19,6,10,6,10,12,11,2,2,2,1,2,0,1,0,2,141760,1271926,3,6,3,0,3
8652291,0,0,3,0,0,0,7,10,7,20,34,19,10,8,7,9,14,21,4,3,2,2,2,2,1,1,1,133936,1213586,7,4,8,0,3
