"betaI","iota","beta_sd","sigma","kappa","gammaI","gammaH","gammaC","gammaV","TF","rho","theta","dI0","dP0","dT0","dB0","dI1","dP1","dT1","dB1","qP","qH","qC","mI","mC","mV","S0","EQ0","PQ0","IQ0","E0","P0","I0","H0","C0","V0","M0","LogLik"
1.40758806343178,0.0177042779901833,0,0.2,1,0.172133302616885,0.635123961314889,1.31234713108046,0.327003197582952,16031.6700539306,0.487576658764406,0.415700726852156,0.485528264998708,0.176249510892225,0.263185388981837,0,0.331872295141556,0.259732942470986,0.630072923852895,0,0.722056284667341,0.137405612125941,0.883271524025973,0.00550468107974399,0.197242061100997,0.685825470240576,1,0,0,0,0,0,0,0,0,0,0,-5920.56753884716
0.562983867405966,0.43586279852782,0,0.2,1,0.187079858450294,0.611714127530752,1.18004821709613,0.330804599855954,81.6387438490247,0.00267031474048558,0.441395070686488,0.342066742743464,0.321928328304044,0.881704972666905,0,0.231189145284255,0.415463278963598,0.916069266452072,0,0.022694675529506,0.129978516766937,0.976481134113275,0.00129234301997243,0.996279090133303,0.174278881347665,1,0,0,0,0,0,0,0,0,0,0,-5922.25428396091
1.35292970341386,0.0190455637545884,0,0.2,1,0.177322276102876,0.612214870624895,1.41318804980476,0.329555723616107,16587.9839742714,0.436596336823198,0.405777040800589,0.476617306408092,0.131777056845869,0.4812587501881,0,0.314431442671035,0.270029507065064,0.438759354256933,0,0.697057067752358,0.146140816349789,0.860602066168518,0.00434411083601262,0.199661655886067,0.646116092940246,1,0,0,0,0,0,0,0,0,0,0,-5923.31422052257
1.43573982470042,0.0186195790833948,0,0.2,1,0.204075314735121,0.620221953750782,1.42260895646691,0.306718494034167,14961.4227286901,0.388581917330302,0.426794414343939,0.520781241329058,0.141193730003452,0.256540816266088,0,0.324342113040669,0.317166630886479,0.456605182610511,0,0.707364442438133,0.137547603685954,0.856191659599071,0.00642517216104741,0.197008336862685,0.673853586879659,1,0,0,0,0,0,0,0,0,0,0,-5926.28998725422
1.63416691201985,0.00654897939829038,0,0.2,1,0.162105147839636,0.647403613520102,3.93282291879796,0.604306607999849,94792.6819244404,0.634995469183023,0.162964054178047,0.266779575945148,0.459336394437794,0.179692978179746,0,0.191944386345332,0.285188798168059,0.0755568225011563,0,0.652530563595321,0.278144704072593,0.778262957742419,0.0139692592133693,0.026000803931513,0.328116627795649,1,0,0,0,0,0,0,0,0,0,0,-5931.60677314675
1.60212442354887,0.00573995667854343,0,0.2,1,0.155750821718627,0.648647075050995,3.57451409657277,0.581793950604009,99200.6498998295,0.644149774178042,0.185411673129923,0.261517812265973,0.43949258513795,0.243719389742345,0,0.181848903972857,0.308711895542959,0.0723406417255472,0,0.653887678676304,0.270918836130993,0.752020446805327,0.013209598665147,0.023940290312063,0.351920683364236,1,0,0,0,0,0,0,0,0,0,0,-5934.14346133133
1.32640167001359,0.0200260884252362,0,0.2,1,0.208631652873166,0.611718812880406,1.31037822614231,0.303647070357441,18564.3426354097,0.422685507114228,0.421422960389942,0.511612310823279,0.1131463655918,0.176815138200485,0,0.335036872289897,0.260199146332542,0.407482905007042,0,0.664827604984502,0.138564893579293,0.833980177947448,0.00803338799816306,0.467097796134144,0.610055114156702,1,0,0,0,0,0,0,0,0,0,0,-5938.24511412009
0.483238134859607,0.129851607942492,0,0.2,1,0.10588233869057,0.322217513178908,2.55231167836196,0.641416292898141,782.625092948623,0.595607125668134,0.603055812925128,0.694556262032574,0.771479207689812,0.56870060788641,0,0.492558832348553,0.296972743408403,0.488317593474312,0,0.374413556478713,0.424297606719073,0.996831479831478,0.0337540385861987,0.19883089906827,0.196967143583376,1,0,0,0,0,0,0,0,0,0,0,-5943.3012670549
1.70018725526545,0.00444905793753829,0,0.2,1,0.184293566911039,0.670665612100345,5.09470259871094,0.628054994782734,110130.521698147,0.458006053840174,0.357438813639653,0.248198467566213,0.544370139028453,0.152384405134305,0,0.197638803080538,0.301875219321956,0.0651474298276134,0,0.706073509748802,0.316940635084957,0.687720147582986,0.00803301128103794,0.0287795228599528,0.302844970932151,1,0,0,0,0,0,0,0,0,0,0,-5947.03401415719
1.2498979182343,0.0155404910731081,0,0.2,1,0.201843133270313,0.596855283466225,1.26151791609091,0.317386754134955,16298.0877945551,0.475162704956437,0.438672958866294,0.500102837766318,0.116498903505154,0.470069477646895,0,0.32211285568079,0.304071648447279,0.451511482014708,0,0.634353829839134,0.139415831772973,0.890628881967443,0.00541478485903921,0.166104880583603,0.607025410765057,1,0,0,0,0,0,0,0,0,0,0,-5951.68943005051
