S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
0,3154.171066878455,999.6244985299626,136.5756600317684,4.22925024500621,0.2634107667870455,0,0,0,0,7335233.965527491,2333478.0824704804,304808.84846338385,18520.815312223334,3259.765945186039,373.3413409482564,11.702428711432121,0.2634107667870455,0,16.35121435571606,1.3512143557160605,0.6487856442839391,0,0,0,0,0,0,0,0,11.965839478219165,0,18.351214355716053,0,0
0,1731.343,1619.115,711.19,111.761,66.99,33.862,11.643,0.943,0.056,4025738.393,3769874.63,1651880.763,257474.403,155970.013,80985.749,13682.591,1183.432,77.206,29118.473,7744.977,1652.018,34.494,8.254,1.529,0.218,0.01,0,0.023,285.921,14935.394,12.645,38823.431,0.018,0.005
0,951.464,1475.452,1103.276,218.116,181.418,139.175,106.968,20.519,3.107,2209439.392,3435083.496,2566120.024,508803.785,421360.778,323541.774,120477.875,23193.816,3490.948,207089.435,105454.204,46138.484,1845.583,922.198,345.643,152.432,20.309,2.329,7.329,22310.671,132687.293,118.327,344974.442,2.593,4.713
0,522.563,1131.473,1197.197,264.652,250.418,227.46,286.903,89.73,21.731,1212608.808,2634974.723,2782731.099,614632.505,583357.218,530859.351,323173.145,100903.975,24701.14,451296.36,318877.52,201181.325,10686.654,7340.947,3622.07,2881.252,715.262,151.25,154.017,191159.252,307029.953,272.444,798358.286,29.958,116.73
0,285.872,798.669,1090.278,255.789,261.949,260.58,466.865,206.705,71.48,665525.313,1857586.346,2535932.477,595080.74,608126.403,605593.86,526828.616,232574.316,80298.501,606187.572,519967.03,409600.484,25412.673,20778.662,11798.7,13977.307,5182.649,1657.367,1138.326,673054.471,414340.836,367.335,1077251.02,128.807,855.502
0,156.652,534.609,896.301,218.778,234.507,246.354,583.197,338.394,151.966,365243.822,1245314.365,2085002.433,508547.194,543951.363,571982.179,658161.789,380425.633,171316.997,634289.46,615913.208,561094.368,38221.764,34736.619,21381.35,34002.787,16999.168,7353.986,4943.317,1497757.44,429996.268,381.743,1118091.708,329.257,3475.734
0,85.911,346.402,687.543,172.779,190.13,207.919,617.888,446.396,250.716,200455.156,807370.513,1601388.589,401169.997,442571.589,482304.214,698827.239,503460.561,281494.864,572931.588,604867.763,608599.876,44066.634,42846.833,27722.783,55302.365,34877.976,19118.129,14970.576,2552647.071,384724.369,340.138,1000313.308,611.68,9415.579
0,47.034,219.187,503.275,129.135,144.606,162.067,589.133,511.741,344.57,110011.832,511112.851,1171778.493,299328.137,337639.406,377448.618,665519.286,577668.148,387598.991,470706.424,526998.074,568888.995,42921.423,43699.741,29217.067,69696.23,52924.699,35115.478,34535.385,3684539.974,313355.846,278.541,814791.714,917.396,18647.413
0,25.76,136.228,355.223,91.985,105.288,120.27,520.017,529.855,417.211,60373.799,317847.435,826919.988,214428.771,245936.261,280096.668,586514.63,598494.104,470125.047,362159.719,423328.92,481059.677,37364.451,39275.716,26868.74,73923.38,65333.889,50766.529,64755.673,4772124.766,239399.483,212.32,622475.162,1183.762,29036.526
0,14.212,83.106,243.864,63.837,74.307,85.52,432.775,509.157,458.916,33140.415,194920.445,567396.852,148878.809,172977.44,199889.432,487873.126,574346.423,518413.691,265648.258,320816.724,378952.255,30057.343,32330.307,22475.381,69433.689,69594.526,61724.648,103796.941,5745367.601,174576.332,154.441,453938.664,1373.329,37667.939
0,7.786,50.51,162.986,43.362,50.784,59.508,344.451,460.733,469.631,18187.097,118224.711,380695.12,100819.496,118384.372,138390.711,388077.126,519469.157,530840.893,187947.338,232836.37,283366.555,22832.84,24996.862,17587.101,59687.545,66440.209,65934.162,147736.887,6575895.697,122928.06,108.866,319654.87,1460.025,42479.921
0,4.26,30.345,107.507,28.29,34.229,39.735,264.646,396.831,454.097,9981.196,71057.269,250750.521,66957.749,79268.024,93531.212,297924.913,448143.416,512449.475,129259.977,163430.696,203642.165,16609.763,18421.045,13088.74,48024.661,58378.869,63777.06,192136.12,7261807.189,84231.429,74.53,218980.147,1455.453,42943.78
0,2.384,18.063,69.717,18.443,22.492,26.61,197.864,329.618,417.454,5476.031,42382.564,162672.959,43716.122,52147.708,61992.913,222217.341,371996.296,471370.783,86908.476,111722.208,141874.068,11690.523,13100.378,9369.898,36705.577,48094.714,57056.501,233378.101,7815024.194,56448.264,50.176,146745.891,1374.262,39867.719
