S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
9968110,3,7,8,1,0,2,22688,0,0,129,130,120,23,31,29,6161,0,0,28,34,31,2,3,1,5,5,4,1073,1372,3,69,6,0,4
9968110,3,7,8,1,0,2,22688,0,0,129,130,120,23,31,29,6161,0,0,28,34,31,2,3,1,5,5,4,1073,1372,3,69,6,0,4
9968105,10,9,4,4,1,2,22694,0,0,140,121,109,25,28,31,6162,0,0,22,34,31,3,2,0,8,5,7,1071,1372,0,69,4,0,4
9968105,10,9,4,4,1,2,22694,0,0,140,121,109,25,28,31,6162,0,0,22,34,31,3,2,0,8,5,7,1071,1372,0,69,4,0,4
9968105,10,9,4,4,1,2,22694,0,0,140,121,109,25,28,31,6162,0,0,22,34,31,3,2,0,8,5,7,1071,1372,0,69,4,0,4
9968105,10,9,4,4,1,2,22694,0,0,140,121,109,25,28,31,6162,0,0,22,34,31,3,2,0,8,5,7,1071,1372,0,69,4,0,4
9968105,10,9,4,4,1,2,22694,0,0,140,121,109,25,28,31,6162,0,0,22,34,31,3,2,0,8,5,7,1071,1372,0,69,4,0,4
9968105,10,9,4,4,1,2,22694,0,0,140,121,109,25,28,31,6162,0,0,22,34,31,3,2,0,8,5,7,1071,1372,0,69,4,0,4
9968089,5,9,5,2,2,1,22701,0,0,146,133,119,19,28,24,6162,0,0,19,34,36,2,3,1,3,4,4,1074,1375,3,75,4,0,7
9968089,6,9,5,2,0,1,22684,0,0,140,143,131,23,23,24,6163,0,0,29,32,32,2,2,1,3,7,3,1073,1373,2,55,5,0,7
9968123,6,7,8,2,1,0,22691,0,0,125,129,112,24,20,32,6164,0,0,25,29,31,2,3,4,4,6,6,1071,1375,1,69,7,0,4
9968123,6,7,8,2,1,0,22691,0,0,125,129,112,24,20,32,6164,0,0,25,29,31,2,3,4,4,6,6,1071,1375,1,69,7,0,4
9968123,6,7,8,2,1,0,22691,0,0,125,129,112,24,20,32,6164,0,0,25,29,31,2,3,4,4,6,6,1071,1375,1,69,7,0,4
9968106,3,6,9,1,1,0,22683,0,0,134,122,121,30,29,33,6166,0,0,24,35,27,6,3,1,3,7,8,1068,1374,5,58,5,0,3
9968101,5,7,10,1,0,3,22689,0,0,127,137,130,21,23,27,6162,0,0,27,30,34,2,1,1,5,8,5,1070,1374,2,66,9,0,3
9968101,5,7,10,1,0,3,22689,0,0,127,137,130,21,23,27,6162,0,0,27,30,34,2,1,1,5,8,5,1070,1374,2,66,9,0,3
9968107,6,7,11,1,1,3,22705,0,0,139,130,92,29,22,28,6164,0,0,21,34,34,1,0,3,3,4,9,1070,1376,3,76,5,0,2
9968109,11,5,6,1,3,2,22701,0,0,125,112,114,28,32,30,6164,0,0,28,34,31,3,0,2,7,4,6,1070,1372,2,72,6,0,6
9968109,11,5,6,1,3,2,22701,0,0,125,112,114,28,32,30,6164,0,0,28,34,31,3,0,2,7,4,6,1070,1372,2,72,6,0,6
9968109,11,5,6,1,3,2,22701,0,0,125,112,114,28,32,30,6164,0,0,28,34,31,3,0,2,7,4,6,1070,1372,2,72,6,0,6
9968080,7,9,7,1,2,2,22683,0,0,141,138,131,26,29,31,6161,0,0,23,27,37,3,3,1,2,4,11,1068,1373,1,52,3,0,1
9968093,1,8,6,1,1,2,22697,0,0,154,125,121,22,25,21,6163,0,0,27,27,37,6,1,1,8,7,4,1070,1372,3,78,6,0,2
9968093,7,8,5,1,4,1,22705,0,0,143,118,116,25,27,29,6162,0,0,25,33,31,0,3,2,8,5,6,1072,1371,3,73,7,0,3
9968093,7,8,5,1,4,1,22705,0,0,143,118,116,25,27,29,6162,0,0,25,33,31,0,3,2,8,5,6,1072,1371,3,73,7,0,3
9968093,7,8,5,1,4,1,22705,0,0,143,118,116,25,27,29,6162,0,0,25,33,31,0,3,2,8,5,6,1072,1371,3,73,7,0,3
9968093,7,8,5,1,4,1,22705,0,0,143,118,116,25,27,29,6162,0,0,25,33,31,0,3,2,8,5,6,1072,1371,3,73,7,0,3
9968117,4,3,14,3,0,1,22697,0,0,143,103,117,28,30,26,6162,0,0,18,37,31,4,1,1,7,6,4,1070,1373,4,64,3,0,2
9968093,3,10,12,1,1,1,22709,0,0,117,149,113,26,30,22,6160,0,0,23,36,29,4,2,1,4,4,9,1071,1370,0,78,3,0,4
9968093,3,10,12,1,1,1,22709,0,0,117,149,113,26,30,22,6160,0,0,23,36,29,4,2,1,4,4,9,1071,1370,0,78,3,0,4
9968093,3,10,12,1,1,1,22709,0,0,117,149,113,26,30,22,6160,0,0,23,36,29,4,2,1,4,4,9,1071,1370,0,78,3,0,4
9968093,3,10,12,1,1,1,22709,0,0,117,149,113,26,30,22,6160,0,0,23,36,29,4,2,1,4,4,9,1071,1370,0,78,3,0,4
9968093,3,10,12,1,1,1,22709,0,0,117,149,113,26,30,22,6160,0,0,23,36,29,4,2,1,4,4,9,1071,1370,0,78,3,0,4
9968107,6,7,7,3,1,1,22678,0,0,137,132,140,17,21,24,6164,0,0,24,31,31,3,4,1,4,7,3,1073,1374,1,58,3,0,5
9968107,6,7,7,3,1,1,22678,0,0,137,132,140,17,21,24,6164,0,0,24,31,31,3,4,1,4,7,3,1073,1374,1,58,3,0,5
9968105,2,9,7,1,1,1,22681,0,0,130,128,141,22,23,28,6159,0,0,28,38,31,3,2,2,2,10,6,1069,1371,0,59,5,0,2
9968107,6,7,7,4,2,2,22683,0,0,133,108,132,28,34,29,6165,0,0,24,33,32,2,2,1,3,3,6,1073,1374,5,60,6,0,4
9968112,9,9,6,1,1,1,22702,0,0,132,120,98,33,26,32,6161,0,0,18,40,34,2,2,1,2,7,5,1073,1373,2,66,5,0,6
9968112,9,9,6,1,1,1,22702,0,0,132,120,98,33,26,32,6161,0,0,18,40,34,2,2,1,2,7,5,1073,1373,2,66,5,0,6
9968090,6,6,10,1,2,0,22697,0,0,134,135,116,25,31,26,6163,0,0,29,31,33,2,2,1,3,4,9,1070,1374,1,75,5,0,4
9968090,6,6,10,1,2,0,22697,0,0,134,135,116,25,31,26,6163,0,0,29,31,33,2,2,1,3,4,9,1070,1374,1,75,5,0,4
9968123,5,4,5,1,3,4,22690,0,0,138,105,115,31,24,33,6163,0,0,24,34,32,2,2,3,3,8,5,1071,1372,4,70,5,0,5
9968123,5,4,5,1,3,4,22690,0,0,138,105,115,31,24,33,6163,0,0,24,34,32,2,2,3,3,8,5,1071,1372,4,70,5,0,5
9968123,5,4,5,1,3,4,22690,0,0,138,105,115,31,24,33,6163,0,0,24,34,32,2,2,3,3,8,5,1071,1372,4,70,5,0,5
9968123,5,4,5,1,3,4,22690,0,0,138,105,115,31,24,33,6163,0,0,24,34,32,2,2,3,3,8,5,1071,1372,4,70,5,0,5
9968099,6,6,7,1,3,3,22680,0,0,134,141,113,28,31,28,6166,0,0,20,37,32,4,2,1,3,4,10,1070,1371,5,62,5,0,4
9968099,6,6,7,1,3,3,22680,0,0,134,141,113,28,31,28,6166,0,0,20,37,32,4,2,1,3,4,10,1070,1371,5,62,5,0,4
9968099,6,6,7,1,3,3,22680,0,0,134,141,113,28,31,28,6166,0,0,20,37,32,4,2,1,3,4,10,1070,1371,5,62,5,0,4
9968099,6,6,7,1,3,3,22680,0,0,134,141,113,28,31,28,6166,0,0,20,37,32,4,2,1,3,4,10,1070,1371,5,62,5,0,4
9968105,3,11,1,3,7,0,22698,0,0,126,133,113,34,21,25,6162,0,0,29,29,35,3,3,1,6,5,8,1069,1370,2,66,7,0,2
9968090,10,6,6,3,2,0,22682,0,0,136,114,132,33,27,37,6163,0,0,27,34,32,2,2,1,5,6,4,1070,1376,3,51,5,0,4
9968090,10,6,6,3,2,0,22682,0,0,136,114,132,33,27,37,6163,0,0,27,34,32,2,2,1,5,6,4,1070,1376,3,51,5,0,4
9968107,7,6,6,1,1,4,22688,0,0,139,114,134,25,21,26,6161,0,0,30,36,29,2,2,1,3,6,6,1070,1375,0,64,9,0,3
9968085,7,4,6,3,1,3,22680,0,0,134,142,135,27,25,27,6164,0,0,27,30,37,2,2,2,3,5,5,1073,1371,3,56,8,0,5
9968090,6,11,8,0,2,0,22687,0,0,125,126,146,27,28,23,6162,0,0,25,39,33,3,1,0,6,7,3,1072,1370,2,59,6,0,3
9968113,7,7,11,2,1,0,22684,0,0,127,126,130,22,21,30,6162,0,0,24,40,30,2,4,1,3,5,7,1071,1370,2,58,6,0,4
9968108,6,5,7,1,1,3,22699,0,0,140,124,115,21,19,31,6165,0,0,27,34,28,2,2,3,3,9,5,1068,1374,2,69,5,0,2
9968085,6,18,6,0,1,2,22685,0,0,140,125,121,32,29,30,6162,0,0,25,33,36,2,4,2,3,5,6,1070,1372,2,62,3,0,3
9968134,6,10,5,2,2,1,22692,0,0,122,107,125,21,34,19,6159,0,0,29,37,23,4,1,4,3,10,2,1073,1375,0,67,10,0,5
9968134,6,10,5,2,2,1,22692,0,0,122,107,125,21,34,19,6159,0,0,29,37,23,4,1,4,3,10,2,1073,1375,0,67,10,0,5
9968105,2,9,7,1,2,0,22694,0,0,153,115,123,19,25,24,6164,0,0,22,35,34,2,4,2,4,1,13,1068,1372,3,59,8,0,2
9968118,10,3,5,2,4,0,22686,0,0,120,128,118,31,31,24,6162,0,0,25,33,32,3,2,5,3,6,6,1073,1370,3,54,5,0,5
9968100,5,7,6,4,2,2,22676,0,0,136,131,121,35,25,25,6165,0,0,33,32,30,2,1,2,4,4,6,1071,1375,4,57,4,0,4
9968088,9,5,8,4,2,2,22712,0,0,139,147,92,17,34,26,6161,0,0,23,34,31,1,2,3,6,6,3,1072,1373,0,87,4,0,5
9968088,9,5,8,4,2,2,22712,0,0,139,147,92,17,34,26,6161,0,0,23,34,31,1,2,3,6,6,3,1072,1373,0,87,4,0,5
9968088,9,5,8,4,2,2,22712,0,0,139,147,92,17,34,26,6161,0,0,23,34,31,1,2,3,6,6,3,1072,1373,0,87,4,0,5
9968088,9,5,8,4,2,2,22712,0,0,139,147,92,17,34,26,6161,0,0,23,34,31,1,2,3,6,6,3,1072,1373,0,87,4,0,5
9968112,7,3,9,3,0,0,22684,0,0,116,140,126,26,27,23,6164,0,0,26,37,31,1,6,0,6,2,6,1072,1373,1,67,8,0,5
9968110,5,9,6,1,2,1,22695,0,0,126,137,115,27,29,21,6162,0,0,25,33,32,5,1,0,4,9,6,1070,1369,2,71,4,0,4
9968110,5,9,6,1,2,1,22695,0,0,126,137,115,27,29,21,6162,0,0,25,33,32,5,1,0,4,9,6,1070,1369,2,71,4,0,4
9968110,5,9,6,1,2,1,22695,0,0,126,137,115,27,29,21,6162,0,0,25,33,32,5,1,0,4,9,6,1070,1369,2,71,4,0,4
9968110,5,9,6,1,2,1,22695,0,0,126,137,115,27,29,21,6162,0,0,25,33,32,5,1,0,4,9,6,1070,1369,2,71,4,0,4
9968110,5,9,6,1,2,1,22695,0,0,126,137,115,27,29,21,6162,0,0,25,33,32,5,1,0,4,9,6,1070,1369,2,71,4,0,4
9968095,7,9,9,2,0,2,22700,0,0,129,127,123,22,31,26,6164,0,0,24,37,29,2,2,0,5,4,10,1070,1371,3,69,6,0,4
9968095,7,9,9,2,0,2,22700,0,0,129,127,123,22,31,26,6164,0,0,24,37,29,2,2,0,5,4,10,1070,1371,3,69,6,0,4
9968095,7,9,9,2,0,2,22700,0,0,129,127,123,22,31,26,6164,0,0,24,37,29,2,2,0,5,4,10,1070,1371,3,69,6,0,4
9968095,7,9,9,2,0,2,22700,0,0,129,127,123,22,31,26,6164,0,0,24,37,29,2,2,0,5,4,10,1070,1371,3,69,6,0,4
9968091,11,5,4,4,1,6,22689,0,0,140,125,121,29,28,26,6161,0,0,32,31,28,3,5,1,5,8,3,1071,1372,1,64,8,0,2
9968111,4,14,6,1,0,4,22689,0,0,128,127,118,27,22,28,6160,0,0,34,29,34,1,3,4,0,6,7,1073,1370,1,62,10,0,4
9968116,6,7,7,2,3,0,22672,0,0,129,128,122,25,26,37,6162,0,0,25,32,36,4,0,1,2,6,7,1071,1374,2,57,7,0,3
9968077,5,8,5,4,0,2,22679,0,0,151,136,111,26,38,34,6164,0,0,31,29,36,4,1,1,5,5,6,1072,1370,5,53,9,0,7
9968079,4,7,6,4,1,3,22675,0,0,140,135,136,29,31,27,6160,0,0,29,34,31,1,2,4,6,3,7,1070,1376,1,59,6,0,5
9968079,4,7,6,4,1,3,22675,0,0,140,135,136,29,31,27,6160,0,0,29,34,31,1,2,4,6,3,7,1070,1376,1,59,6,0,5
9968094,3,10,6,1,0,4,22692,0,0,150,114,123,37,21,24,6162,0,0,29,30,33,1,4,2,3,6,8,1071,1372,3,73,3,0,5
9968094,3,10,6,1,0,4,22692,0,0,150,114,123,37,21,24,6162,0,0,29,30,33,1,4,2,3,6,8,1071,1372,3,73,3,0,5
9968094,3,10,6,1,0,4,22692,0,0,150,114,123,37,21,24,6162,0,0,29,30,33,1,4,2,3,6,8,1071,1372,3,73,3,0,5
9968094,3,10,6,1,0,4,22692,0,0,150,114,123,37,21,24,6162,0,0,29,30,33,1,4,2,3,6,8,1071,1372,3,73,3,0,5
9968106,3,7,6,3,0,0,22698,0,0,134,125,124,29,16,30,6161,0,0,27,28,35,2,1,3,4,7,8,1070,1373,1,67,9,0,4
9968106,3,7,6,3,0,0,22698,0,0,134,125,124,29,16,30,6161,0,0,27,28,35,2,1,3,4,7,8,1070,1373,1,67,9,0,4
9968106,3,7,6,3,0,0,22698,0,0,134,125,124,29,16,30,6161,0,0,27,28,35,2,1,3,4,7,8,1070,1373,1,67,9,0,4
9968106,3,7,6,3,0,0,22698,0,0,134,125,124,29,16,30,6161,0,0,27,28,35,2,1,3,4,7,8,1070,1373,1,67,9,0,4
9968106,3,7,6,3,0,0,22698,0,0,134,125,124,29,16,30,6161,0,0,27,28,35,2,1,3,4,7,8,1070,1373,1,67,9,0,4
9968111,6,12,8,0,2,0,22680,0,0,118,125,126,32,24,29,6164,0,0,30,36,34,0,3,2,4,6,6,1071,1371,2,61,12,0,4
9968134,10,6,9,2,1,3,22688,0,0,113,125,101,34,31,25,6164,0,0,24,36,29,4,3,0,3,7,5,1070,1373,2,60,4,0,2
9968095,7,8,7,1,1,1,22686,0,0,145,126,116,21,35,29,6166,0,0,25,30,34,5,4,0,5,4,6,1073,1370,3,61,2,0,6
9968114,5,6,5,2,1,1,22696,0,0,138,120,107,33,28,21,6163,0,0,29,30,30,2,3,1,6,7,6,1070,1376,2,71,7,0,4
9968114,5,6,5,2,1,1,22696,0,0,138,120,107,33,28,21,6163,0,0,29,30,30,2,3,1,6,7,6,1070,1376,2,71,7,0,4
9968114,5,6,5,2,1,1,22696,0,0,138,120,107,33,28,21,6163,0,0,29,30,30,2,3,1,6,7,6,1070,1376,2,71,7,0,4
9968114,5,6,5,2,1,1,22696,0,0,138,120,107,33,28,21,6163,0,0,29,30,30,2,3,1,6,7,6,1070,1376,2,71,7,0,4
9968114,5,6,5,2,1,1,22696,0,0,138,120,107,33,28,21,6163,0,0,29,30,30,2,3,1,6,7,6,1070,1376,2,71,7,0,4
9968114,5,6,5,2,1,1,22696,0,0,138,120,107,33,28,21,6163,0,0,29,30,30,2,3,1,6,7,6,1070,1376,2,71,7,0,4
9968092,5,7,8,1,0,5,22697,0,0,137,133,119,27,28,18,6166,0,0,25,35,38,1,1,2,1,6,10,1068,1370,4,70,7,0,3
9968111,9,4,5,1,3,3,22678,0,0,139,120,120,24,28,32,6163,0,0,25,35,39,3,1,1,2,7,7,1072,1368,2,54,6,0,5
9968094,5,4,7,2,1,2,22690,0,0,147,114,124,29,29,33,6163,0,0,24,35,31,4,1,1,2,7,5,1074,1372,4,70,4,0,4
9968095,6,9,5,0,1,4,22682,0,0,115,139,129,33,37,26,6166,0,0,20,35,32,3,2,1,2,5,5,1075,1373,4,58,2,0,6
9968098,5,5,14,0,3,1,22687,0,0,143,127,121,28,19,29,6162,0,0,27,30,41,4,0,0,2,11,4,1070,1369,1,61,6,0,3
9968127,6,7,9,2,2,1,22701,0,0,115,124,114,16,30,26,6165,0,0,24,30,31,4,0,3,6,4,6,1072,1375,3,77,4,0,5
9968127,6,7,9,2,2,1,22701,0,0,115,124,114,16,30,26,6165,0,0,24,30,31,4,0,3,6,4,6,1072,1375,3,77,4,0,5
9968127,6,7,9,2,2,1,22701,0,0,115,124,114,16,30,26,6165,0,0,24,30,31,4,0,3,6,4,6,1072,1375,3,77,4,0,5
9968127,6,7,9,2,2,1,22701,0,0,115,124,114,16,30,26,6165,0,0,24,30,31,4,0,3,6,4,6,1072,1375,3,77,4,0,5
9968127,6,7,9,2,2,1,22701,0,0,115,124,114,16,30,26,6165,0,0,24,30,31,4,0,3,6,4,6,1072,1375,3,77,4,0,5
9968099,8,2,4,2,2,4,22684,0,0,127,124,137,36,30,23,6162,0,0,23,36,31,1,2,0,6,10,3,1071,1373,1,72,3,0,4
9968099,8,2,4,2,2,4,22684,0,0,127,124,137,36,30,23,6162,0,0,23,36,31,1,2,0,6,10,3,1071,1373,1,72,3,0,4
9968121,5,10,6,0,1,2,22677,0,0,138,120,119,32,26,25,6161,0,0,26,31,35,2,5,1,4,7,4,1072,1370,1,51,4,0,3
9968103,3,6,6,2,2,1,22691,0,0,129,129,139,26,26,22,6160,0,0,23,38,37,0,3,0,2,2,9,1071,1370,2,67,5,0,4
9968107,5,7,5,1,2,2,22684,0,0,140,117,132,29,24,27,6162,0,0,21,40,27,3,5,0,5,6,8,1069,1372,2,57,4,0,2
9968073,9,6,8,1,2,1,22689,0,0,154,140,128,23,22,28,6164,0,0,21,30,34,0,1,4,6,4,6,1073,1373,1,63,4,0,6
9968073,9,6,8,1,2,1,22689,0,0,154,140,128,23,22,28,6164,0,0,21,30,34,0,1,4,6,4,6,1073,1373,1,63,4,0,6
9968073,9,6,8,1,2,1,22689,0,0,154,140,128,23,22,28,6164,0,0,21,30,34,0,1,4,6,4,6,1073,1373,1,63,4,0,6
9968073,9,6,8,1,2,1,22689,0,0,154,140,128,23,22,28,6164,0,0,21,30,34,0,1,4,6,4,6,1073,1373,1,63,4,0,6
9968100,3,7,8,0,0,3,22702,0,0,145,123,112,26,25,27,6159,0,0,27,34,34,2,4,2,6,4,6,1073,1368,1,73,6,0,6
9968100,3,7,8,0,0,3,22702,0,0,145,123,112,26,25,27,6159,0,0,27,34,34,2,4,2,6,4,6,1073,1368,1,73,6,0,6
9968098,5,9,7,1,2,3,22699,0,0,123,128,128,27,24,25,6162,0,0,22,36,37,4,1,2,3,5,7,1072,1370,2,72,9,0,4
9968098,5,9,7,1,2,3,22699,0,0,123,128,128,27,24,25,6162,0,0,22,36,37,4,1,2,3,5,7,1072,1370,2,72,9,0,4
9968111,7,4,9,1,2,1,22690,0,0,135,130,112,28,33,18,6162,0,0,24,34,29,5,2,1,3,8,6,1071,1374,2,62,6,0,3
9968111,7,4,9,1,2,1,22690,0,0,135,130,112,28,33,18,6162,0,0,24,34,29,5,2,1,3,8,6,1071,1374,2,62,6,0,3
9968114,5,4,6,2,2,0,22691,0,0,123,131,116,27,28,30,6163,0,0,24,41,30,2,2,2,3,7,7,1070,1370,2,60,6,0,2
9968130,1,9,6,4,0,2,22691,0,0,126,106,128,25,31,19,6164,0,0,27,33,31,2,3,1,5,6,5,1071,1374,4,67,9,0,5
9968130,1,9,6,4,0,2,22691,0,0,126,106,128,25,31,19,6164,0,0,27,33,31,2,3,1,5,6,5,1071,1374,4,67,9,0,5
9968130,1,9,6,4,0,2,22691,0,0,126,106,128,25,31,19,6164,0,0,27,33,31,2,3,1,5,6,5,1071,1374,4,67,9,0,5
9968104,8,5,7,2,0,3,22688,0,0,141,118,126,29,35,19,6159,0,0,26,35,30,2,2,2,4,6,6,1072,1371,0,56,3,0,4
9968104,8,5,7,2,0,3,22688,0,0,141,118,126,29,35,19,6159,0,0,26,35,30,2,2,2,4,6,6,1072,1371,0,56,3,0,4
9968104,8,5,7,2,0,3,22688,0,0,141,118,126,29,35,19,6159,0,0,26,35,30,2,2,2,4,6,6,1072,1371,0,56,3,0,4
9968095,5,5,9,1,2,0,22694,0,0,148,132,111,24,28,22,6163,0,0,29,36,33,0,2,2,4,5,4,1073,1373,1,70,5,0,4
9968092,4,8,9,2,1,3,22688,0,0,145,110,154,26,27,15,6166,0,0,18,37,29,5,3,1,2,6,4,1074,1371,5,69,1,0,6
9968065,6,10,8,1,1,1,22686,0,0,156,123,138,35,22,27,6162,0,0,30,32,35,1,3,1,5,6,5,1069,1372,1,51,7,0,4
9968134,6,8,5,2,1,2,22693,0,0,126,115,110,23,26,25,6164,0,0,25,37,29,1,5,0,6,7,4,1074,1372,2,73,12,0,5
9968134,6,8,5,2,1,2,22693,0,0,126,115,110,23,26,25,6164,0,0,25,37,29,1,5,0,6,7,4,1074,1372,2,73,12,0,5
9968134,6,8,5,2,1,2,22693,0,0,126,115,110,23,26,25,6164,0,0,25,37,29,1,5,0,6,7,4,1074,1372,2,73,12,0,5
9968134,6,8,5,2,1,2,22693,0,0,126,115,110,23,26,25,6164,0,0,25,37,29,1,5,0,6,7,4,1074,1372,2,73,12,0,5
9968126,4,8,8,1,1,0,22690,0,0,122,125,119,22,29,23,6164,0,0,27,33,28,4,4,2,3,8,6,1070,1373,3,69,6,0,3
