S,E,I,R,H
73014.39,691.28,492.99,2366575.1697637425,1221.36
74867.18,484.44,343.12,2375798.259008537,1079.37
77820.0665770774,401.2689905720124,240.7664004585139,2387578.3410355384,553.3370451602109
80748.3536276292,441.56483380157323,262.21680757811237,2395310.6141270082,578.6236756195897
82294.41021808433,597.5758619183966,353.4464164457482,2404240.6442571953,783.8414119444196
83553.24032160938,778.2883253717869,458.57615138572714,2413424.2434738525,1012.9382338675283
84467.00554521027,1006.1957041327634,583.2905409171301,2422889.7030093353,1290.2327495562647
85231.33406579643,1238.5512604581634,715.8883305318938,2432497.500288765,1556.3284875114712
86121.43888727707,909.6866854658233,669.3246332203917,2442727.550490022,1825.6577046837558
86359.39787693595,1086.3046022515211,634.3261950568625,2453096.701211262,1500.1624353362488
86231.94010199806,1385.8173042014469,806.1750592803493,2463514.765446788,1762.6627494586944
85776.77274477693,1789.2197368919985,1048.6261136539683,2474087.3010504767,2306.277817822493
84816.10522418453,2227.7171874264836,1298.1785996401875,2485143.489022747,2846.64366932911
82600.7562297261,2831.9957145317467,1677.9086658826773,2497158.3997839754,3740.5558860043325
80155.30624333194,3328.8963188852545,2004.8206821890446,2509586.55728901,4511.326799986902
78631.92576727012,2403.2259414810737,1812.1911825114826,2523037.7713888926,5146.678167094144
78741.40302584755,1566.00392978561,1209.0663503104643,2535199.699658128,3845.1384411254016
79624.2460136207,1037.6352572355245,801.2808085411018,2546092.869099555,2543.184169752935
81093.88043704153,697.2150085674203,530.7140412974626,2556092.661394946,1674.075628501757
82047.34065089018,913.704899550783,556.0919883887053,2565771.877026534,1305.3194031963612
82852.75563025758,1092.9677153331334,655.3842928661653,2575576.570121937,1510.4758223293543
83168.4709779151,1308.3375363224823,785.3223590366955,2585829.1371208406,1803.5456180948822
83718.27033797266,1074.7674740613515,797.0176473009781,2596422.9417227665,2062.6861565166855
84205.33468625575,1339.3190386612516,807.2695115925455,2606618.0717827873,1901.1030129774952
84110.79269736249,1583.7764015948048,953.1225163782292,2617279.941000076,2174.191783029109
83650.45598342876,1819.032245896928,1096.9730673172032,2628365.937816489,2508.4509268722727
83389.73828419496,1510.224595607889,1127.772111072538,2639909.430620032,2943.160667614912
83846.57196379422,1337.3076311906239,839.7168776762013,2650957.6201486215,2411.748880555215
83702.2287163297,1579.3065908102913,960.0628437690698,2661791.1920126714,2217.4382700605343
83182.40915092888,1814.5762968165798,1104.401046935386,2672999.310506066,2570.24096088787
82134.55735096661,2097.291986311552,1284.3600659917495,2684660.6158916554,2992.540173147878
80530.46170560687,2388.4944602972328,1477.2764431719634,2696855.237843111,3481.014054497216
78404.01231408365,2658.3982620051916,1665.0136363915021,2709597.1543276603,3978.738050488051
74571.05144611897,2975.5201279321445,1895.4603093963235,2723945.9571979647,4697.946910328228
73436.49239861468,1975.105149067955,1565.2654705191744,2737453.6389830103,4782.875229619648
72926.3436162177,1797.7460657992121,1189.057772218957,2749551.557448199,3434.7190598945103
72195.01367258996,1822.5959447293083,1181.6739541357206,2761249.764120808,3035.6678851148736
71545.14051058794,1792.134684542019,1167.3947020289436,2772928.720584869,3011.338685544144
71046.32771538453,1720.7803911837004,1130.638792141899,2784436.9208475365,2910.9622171730794
71001.4379003498,1602.1978064221394,1054.05131959951,2795575.5784214647,2725.106883755029
70724.6244629767,1536.7969517137735,1020.1194477390616,2806760.2733186716,2669.869785086475
71509.59663037927,938.7446349378466,768.4551028537251,2817610.2954644295,2339.037316685146
73024.42911550014,534.8684149914322,440.566336002129,2827525.0752309263,1502.9369336391503
74829.16427468813,310.5445881352329,251.06729629147935,2836778.5456056767,862.1078655719189
76834.30050271752,179.55081802677853,147.79075589975267,2845576.85251953,488.46231955754564
78802.9784142711,178.9553583076361,115.75755503217637,2854116.7159380573,305.7638445885718
80809.59383627665,171.23147199570894,111.08171828444323,2862545.0256726956,264.5406037839803
82883.83611277101,169.01192776377212,105.95772337679715,2870757.9946728293,256.4149867293886
84953.48343799343,123.15670091416027,92.83762955759389,2879005.227764161,243.27586437921508
87020.19221899338,128.38155023590386,79.66695077092639,2887002.7126563094,193.61653727688562
89159.01591396272,121.7293150267454,77.7561573949941,2894928.6998335524,176.6904244117124
91250.27637422085,133.21198604978818,81.05901092563772,2902646.7707353774,190.0491304443904
93334.21608167389,103.9319647713436,74.66419012227155,2910403.55886149,192.4337507445184
95154.39416575118,111.93002593998729,69.19544417488116,2918180.077102795,211.5156912301535
96885.69785201807,136.84790668653847,86.4418168536958,2925937.2256531455,207.42593393797594
98799.09259595022,185.4329988563979,101.03866733375209,2933329.816830442,267.62315575277864
100579.98,233.97,138.28,2940713.422681628,299.15
102228.7,309.88,180.86,2948083.212848416,395.81
103697.19,411.41,241.2,2955421.2044759165,521.49
104914.62,554.79,318.08,2962887.3203269285,697.26
106236,469.49,335.84,2970318.33685907,884.83
107535.24,544.37,315.05,2977634.591775764,780.74
108381.28,760.46,433.21,2984854.088148994,931.85
108754.8,1044.19,603.56,2992426.2745441897,1289.79
106016.545607372,1883.796455174971,1102.453981370607,3001973.720619374,2321.204235229588
103829.15990278262,2548.522016540166,1486.786819613448,3011225.1890546163,3254.8145900727795
100318.05761516314,3313.8552202004535,1964.704888998522,3021402.882931036,4354.697319431353
98977.23783526826,2604.712610653503,1927.3741086507039,3031315.0969011337,5086.0338112535965
98438.46528990158,1764.1794122338374,1345.2710427889967,3040947.472715886,4163.479304095215
98636.88634384886,1204.1924306389167,911.2426250211139,3049278.192444707,2857.6401204924387
99527.0521611278,804.3502874320671,610.2501433983035,3056519.9257424683,1899.2128002572404
100051.17105067945,973.7783075021716,587.0984802654123,3063093.2853782834,1421.7108869113283
100421.60286594083,1165.745704859184,701.7309143822894,3069606.3891092474,1559.1929949576456
100127.34465347657,1420.6116031646275,850.3442266646229,3076447.9774235776,1933.552323745711
99894.99043423546,1292.0254040668087,929.5327147263631,3083677.9089991315,2301.563420609836
99680.27503666368,1467.2153622386033,882.4869804132784,3090420.768792457,2147.810842849842
99004.3108385744,1711.9624640864486,1029.2137460515223,3097361.54774263,2344.513445944807
97729.80523867792,1991.8321334993418,1205.7277834165518,3104588.771170849,2780.2907682797063
96706.87370179707,1748.328631185921,1271.648153068857,3112149.4787173322,3186.3952294189858
96884.03203957465,1339.6457743232118,879.7527630060773,3118937.273118354,2658.1238734475046
96439.92571610246,1555.7761466891502,948.7873102443205,3125160.033636005,2240.8273903540353
95721.99132782167,1745.6095568559908,1061.890986257038,3131497.0219108397,2502.5590886212426
94738.21654389353,1930.3108725888565,1191.0291994873019,3137939.312943645,2797.200183415594
93407.16780418673,2116.216245049907,1311.1227678800833,3144647.5760901114,3135.730526139002
91809.82837129533,2283.6525290064565,1425.2240907753294,3151450.477870098,3411.676838060361
89907.17929510027,2420.356126906127,1531.1504189546652,3158558.978680668,3695.8257648105423
88983.96354790733,1730.8506376742134,1343.901599357993,3165567.0003767554,3816.530923786051
88766.36885026984,1489.1754629125678,966.4827794828975,3171611.7407090734,2789.536920931908
88384.83549240255,1533.1730345966496,979.2342021074575,3176881.4802365284,2407.360045089945
87771.31870524553,1591.1798122651117,1014.719399471801,3182336.7158849575,2515.449559837466
